order_id,store_id,order_date,product_id,prod_quantity,store_zone,ship_cost,delivery_date
10000001,6,17-02-2011,P100001,219,M3,80,18-02-2011
10000002,37,23-09-2010,P100001,1740,M3,80,30-09-2010
10000003,26,29-01-2012,P100002,4871,M1,20,31-01-2012
10000004,13,12-10-2011,P100003,4332,M1,20,17-10-2011
10000005,5,26-05-2012,P100004,2699,M2,50,01-06-2012
10000006,13,11-07-2012,P100005,956,M1,20,14-07-2012
10000007,11,17-11-2010,P100006,4770,M2,50,20-11-2010
10000008,5,16-09-2011,P100007,3814,M2,50,18-09-2011
10000009,34,11-10-2011,P100008,2007,M1,20,13-10-2011
10000010,22,15-04-2012,P100009,231,M2,50,17-04-2012
10000011,29,07-05-2012,P100010,1287,M1,20,08-05-2012
10000012,31,02-06-2011,P100011,4465,M1,20,05-06-2011
10000013,25,25-07-2012,P100012,1166,M1,20,01-08-2012
10000014,1,24-02-2012,P100013,15,M4,100,02-03-2012
10000015,32,28-12-2011,P100014,4165,M3,80,03-01-2012
10000016,29,23-08-2012,P100015,1032,M1,20,27-08-2012
10000017,32,01-07-2012,P100016,1820,M3,80,04-07-2012
10000018,22,14-06-2011,P100017,3734,M2,50,18-06-2011
10000019,24,01-05-2010,P100018,1779,M3,80,03-05-2010
10000020,11,14-09-2010,P100019,53,M2,50,15-09-2010
10000021,19,01-06-2010,P100020,4159,M1,20,06-06-2010
10000022,37,22-02-2010,P100021,2056,M3,80,24-02-2010
10000023,43,06-02-2010,P100022,2543,M1,20,13-02-2010
10000024,20,10-03-2010,P100023,2809,M1,20,13-03-2010
10000025,4,22-02-2011,P100024,4202,M1,20,01-03-2011
10000026,38,20-07-2010,P100025,2512,M2,50,23-07-2010
10000027,42,01-06-2011,P100026,395,M1,20,05-06-2011
10000028,10,07-03-2011,P100027,1869,M2,50,11-03-2011
10000029,8,28-11-2011,P100028,4642,M1,20,01-12-2011
10000030,11,01-07-2012,P100029,4549,M2,50,07-07-2012
10000031,45,15-07-2011,P100030,4001,M1,20,20-07-2011
10000032,19,07-07-2011,P100031,2605,M1,20,14-07-2011
10000033,28,16-06-2011,P100032,383,M1,20,22-06-2011
10000034,35,30-09-2011,P100033,4214,M1,20,07-10-2011
10000035,34,15-09-2010,P100034,1927,M1,20,16-09-2010
10000036,16,17-12-2011,P100035,2281,M1,20,21-12-2011
10000037,5,03-09-2010,P100036,4012,M2,50,09-09-2010
10000038,41,05-02-2010,P100037,3172,M3,80,12-02-2010
10000039,45,03-04-2012,P100038,905,M1,20,04-04-2012
10000040,6,29-03-2010,P100039,50,M3,80,05-04-2010
10000041,37,26-10-2011,P100040,4153,M3,80,29-10-2011
10000042,26,10-06-2010,P100041,201,M1,20,12-06-2010
10000043,38,23-06-2011,P100042,3985,M2,50,24-06-2011
10000044,45,18-03-2011,P100043,4995,M1,20,25-03-2011
